date,province,place,responsible,death,desc,lat,lng
2011-7-6,山东,山东省枣庄市薛城区,安泰煤业集团防备煤矿,28,225水平空气压缩机着火，引燃木支护材料及部分煤炭，造成28人死亡和失踪。,34.7963305,117.3585071
2013-11-24,山东,山东烟台市附近海域,浙江兴龙舟海运集团有限公司,12,兴龙舟65号散装船在长山水道东南部水域遇风沉没，造成12人死亡和下落不明。,37.53656156,121.309555
2014-11-19,山东,山东烟台市蓬莱市  ,烟台金进建材有限公司、潮水镇潮水四村幼儿园,12,一辆重型载货汽车（鲁FN7610，核载12.85吨，实载24.28吨）沿烟台蓬莱机场路由南向北行驶至潮水镇刘家庄村路口处，与一辆微型面包车（鲁Y9P118，载15人、1名司机和14名幼儿园学生）相撞，造成12人死亡，3人受伤。,37.66116041,120.8626943
2015-1-16,山东,山东烟台市莱州市,河北沧州临港广通运输有限公司,12,一辆油罐车（冀JR2887）与一辆面包车（鲁YMA331）、一辆大众商务车（车牌不详）和烟台交运集团一辆大客车（鲁F28955，核载47人、实载14人）相撞起火，造成12人死亡，3人受伤。,37.19040137,120.0013435
2011-7-10,山东,山东潍坊市昌邑县,正东矿业有限公司（铁矿）,23,主井西南侧采空区顶部（露天坑底部）垮塌，大量积水和泥沙涌入井下，造成23人死亡和失踪。,36.83423425,119.4499175
2014-11-16,山东,山东潍坊市寿光市化龙镇,龙源食品有限公司,18,车间发生火灾，造成18人死亡，13人受伤。,36.95218069,118.5978553
2013-10-8,山东,山东滨州市博兴县,诚力供气有限公司,10,焦化装置生产过程中发生煤气柜爆炸事故，造成10人死亡，33人受伤。事故发生后，企业仅上报4人死亡，后经群众举报后查实。,37.19135385,118.2257153
2012-10-7,山东,山东淄博市临淄区 ,济南市商河县长途汽车运输公司,14,一辆大客车（鲁A96925，核载39人，实载28人）在青银高速公路228公里处，与一辆小轿车（鲁GJ011B）刮擦后冲入对向车道与一辆大客车（鲁A18526，核载53人，实载53人）碰撞，造成14人死亡，44人受伤。,36.85424402,118.300697
2011-11-19,山东,山东泰安市新泰市楼德镇,山东新泰联合化工有限公司,15,三聚氰胺生产装置检修过程中发生爆燃事故，造成15人死亡，4人受伤。,35.86918661,117.3275939
2011-1-3,山东,山东日照市,个体,10,在江苏省射阳以东190海里处作业时被一艘不明货轮撞沉，造成10人下落不明。,35.42022519,119.5071799
2012-3-15,山东,山东临沂市苍山县鲁城镇,济钢集团石门铁矿有限公司,13,副井罐笼钢丝绳断裂，罐笼坠落270米深的井底，造成罐笼内的13人全部死亡。,34.88163205,117.771861
2015-5-9,山东,山东临沂市兰陵县,兰陵顺天运输有限公司,10,在护坡墙施工过程中，发生倒塌事故，造成10人死亡、3人受伤。,34.73960177,117.8544295
2012-8-16,安徽,安徽马鞍山市,马鞍山市马和汽车轮渡有限公司,15,一艘渡船（马和渡104号），由马鞍山开往和县，行至长江马和汽渡河段时沉没，造成12人死亡，3人下落不明。,31.68852816,118.5158818
2015-6-26,安徽,安徽芜湖市 ,马鞍山市天马旅游客运有限公司,12,一辆大型普通客车（皖E02457，核载35人，实载36人，含2名儿童）在芜马高速上行线69千米+270米处，与一辆货车（赣BC4035）相撞，造成12人死亡、25人受伤。,31.36601979,118.3841084
2012-4-12,安徽,安徽省宿州市萧县,一辆个体经营少林牌客车（皖L60670，核载29人，实载24人）,24,与对向一辆个体经营货车（豫N60023，实载2人，核载14.99吨）相撞，造成24人死亡，2人受伤。,34.20852964,116.8124218
2014-8-19,安徽,安徽淮南市谢家集区,东方煤矿,27,发生瓦斯爆炸事故，造成27人死亡。,32.54440018,116.9087721
2013-8-26,安徽,安徽宿州市砀山县，,"安徽宿州市通达运输有限公司砀山分公司（货车）
中巴车（私人所有）",10,一辆中巴车（苏CP8660）在310国道305公里路段与一辆货车（皖L58126）相撞，造成10人死亡，5人受伤。,34.45405724,116.4202823
2013-8-9,安徽,安徽合肥市,上海瑞锦旅游客运有限公司（客车）,10,一辆大客车（沪B67525）在合淮阜高速吴山道口北与一辆大货车（皖S55940）相撞，造成10人死亡，31人受伤。,31.86694226,117.2826991
2013-9-24,安徽,安徽亳州市利辛县,"安徽亳州市利辛县齐力物流有限公司（货车）
安徽阜阳市长运汽车租贷服务有限公司（客车）",10,一辆重型半挂牵引车（皖S73712）在延陵大道与富强北路交叉口，与一辆大客车（皖KG5551）相撞，造成10人死亡，28人受伤。,33.15737576,116.1662718
2012-9-15,宁夏,宁夏固原市隆德县,甘肃省平凉市昌晖运业有限公司,11,一辆大型客车（甘L08859，核载41人，实载17人），由兰州驶往平凉，行至312国道1865公里处，与甘肃省平凉市昌晖运业有限公司一辆车牌为甘L29940的大货车刮撞后侧翻，坠入100多米深的山沟，造成11人死亡，6人受伤。,35.58913772,106.0736113
2011-1-29,宁夏,宁夏固原市西吉县,固原市西吉县祥龙农村客运有限责任公司,11,"（宁D06895,核载19人,实载37人）发生侧翻事故,造成11人死亡，26人受伤（其中9人重伤）。",35.93993438,105.7267486
2012-4-30,宁夏,宁夏回族自治区吴忠市,同心县城乡建筑工程公司,18,一辆依维柯中型客车（宁C25628，核载17人，实载23人），越过道路中心黄线驶入对向车道，与一辆东风牌大型货车（宁E25889，核载17.9吨，实载17吨，载2人）正面相撞，造成18人死亡，6人受伤（其中3人重伤）。,37.993561,106.2082542
2015-5-2,天津,天津滨海新区,个人所有,10,一辆面包车（津RJ5133，核载7人，实载12人）在津岐公路48千米+900米处，与一辆重型自卸货车（冀JB1171，空车，载1人）相撞，造成10人死亡、3人受伤。,39.05917664,117.6462863
2012-6-30,天津,天津市蓟县,天津蓟县莱德商厦,10,发生火灾，造成10人死亡、16人轻伤。,40.00961366,117.4411592
2011-10-7,天津,天津市宁河县,唐山交通运输集团有限公司通达客运分公司,35,一辆大客车（冀B99998，核载55人、实载55人）与一辆小轿车追尾相撞后，侧翻到路边护栏上并滑行100余米，造成35人死亡，19人受伤（其中10人危重）。,39.381561,117.689424
